TWT,DEPTH1,CALI2,RHOB2,GR2,INDUCTION2,NPHI2,PWAVE2,,TWT3,RHOB3,PWAVE3
-358.99,338,,,,,,0,,-1131.93,2.287800074,85.36759949
-360.09,339,,,,,,0,,-1132.74,2.281899929,85.89289856
-361.18,340,,,,,,0,,-1133.51,2.378400087,77.29759979
-362.28,341,,,,,,0,,-1134.25,2.390100002,76.25859833
-363.38,342,,,,,,0,,-1135.03,2.390799999,76.19380188
-364.47,343,,,,,,0,,-1135.42,2.406699896,74.78340149
-365.57,344,,,,,,0,,-1135.83,2.247699976,88.93699646
-366.67,345,,,,,,0,,-1136.28,2.421099901,73.50119782
-367.76,346,,,,,,0,,-1136.75,2.387300015,76.5089035
-368.86,347,,,,,,0,,-1137.16,2.349400044,79.8809967
-369.96,348,,,,,,0,,-1137.58,2.218300104,91.55190277
-371.05,349,,,,,,0,,-1137.93,2.260999918,87.74960327
-372.15,350,,,,,,0,,-1138.28,2.384500027,76.75669861
-373.24,351,,,,,,0,,-1138.58,2.231100082,90.41010284
-374.34,352,,,,,,0,,-1138.87,2.119899988,100.3125
-375.44,353,,,,,,0,,-1139.16,2.342499971,80.49150085
-376.53,354,,,,,,0,,-1139.44,2.324399948,82.10959625
-377.63,355,,,,,,0,,-1139.82,2.35649991,79.24369812
-378.73,356,,,,,,0,,-1140.09,2.390100002,76.25350189
-379.82,357,,,,,,0,,-1140.38,2.35710001,79.19589996
-380.92,358,,,,,,0,,-1140.7,2.237900019,89.80400085
-382.02,359,,,,,,0,,-1141.09,2.230000019,90.51010132
-383.11,360,,,,,,0,,-1141.45,2.364000082,78.57949829
-384.21,361,,,,,,0,,-1141.75,2.354700089,79.40709686
-385.31,362,,,,,,0,,-1142.13,2.269900084,86.96109772
-386.4,363,,,,,,0,,-1142.58,2.250099897,88.71659851
-387.5,364,,,,,,0,,-1142.9,2.283900023,85.70870209
-388.59,365,,,,,,0,,-1143.23,2.402899981,75.11849976
-389.69,366,,,,,,0,,-1143.54,2.316800118,82.78579712
-390.79,367,,,,,,0,,-1143.83,2.365499973,78.4464035
-391.88,368,,,,,,0,,-1144.15,2.307399988,83.61740112
-392.98,369,,,,,,0,,-1144.81,2.184499979,94.5625
-394.08,370,,,,,,0,,-1145.5,2.139400005,98.57299805
-395.17,371,,,,,,0,,-1146.1,2.131900072,99.23889923
-396.27,372,,,,,,0,,-1146.71,2.188800097,94.18019867
-397.37,373,,,,,,0,,-1147.38,2.290600061,85.11730194
-398.46,374,,,,,,0,,-1148.09,2.305999994,83.74220276
-399.56,375,,,,,,0,,-1148.85,2.336800098,81.00520325
-400.65,376,,,,,,0,,-1149.6,2.35890007,79.03620148
-401.75,377,,,,,,0,,-1150.42,2.368499994,78.18319702
-402.85,378,,,,,,0,,-1151.21,2.387099981,76.52829742
-403.94,379,,,,,,0,,-1152.04,2.363199949,78.65149689
-405.04,380,,,,,,0,,-1152.94,2.273900032,86.59780121
-406.14,381,,,,,,0,,-1153.86,2.302700043,84.03659821
-407.23,382,,,,,,0,,-1154.79,2.308099985,83.55729675
-408.33,383,,,,,,0,,-1155.68,2.433599949,72.38469696
-409.43,384,,,,,,0,,-1156.52,2.479599953,68.28910065
-410.52,385,,,,,,0,,-1157.35,2.4921,67.18109894
-411.62,386,,,,,,0,,-1158.15,2.368000031,78.22270203
-412.71,387,,,,,,0,,-1158.95,2.490400076,67.32679749
-413.81,388,,,,,,0,,-1159.74,2.465199947,69.57499695
-414.91,389,,,,,,0,,-1160.52,2.246500015,89.04109955
-416,390,,,,,,0,,-1161.31,2.333499908,81.29810333
-417.1,391,,,,,,0,,-1162.16,2.08739996,103.1988983
-418.2,392,,,,,,0,,-1162.99,2.320800066,82.42649841
-419.29,393,,,,,,0,,-1163.81,2.230700016,90.44629669
-420.39,394,,,,,,0,,-1164.57,1.887500048,121.0000992
-421.49,395,,,,,,0,,-1165.29,1.919199944,118.1789017
-422.58,396,,,,,,0,,-1166.01,2.036099911,107.7706986
-423.68,397,,,,,,0,,-1166.8,2.000999928,110.8953018
-424.77,398,,,,,,0,,-1167.51,2.322400093,82.27950287
-425.87,399,,,,,,0,,-1168.01,2.271199942,86.83709717
-426.97,400,,,,,,0,,-1168.62,2.23149991,90.37660217
-428.06,401,,,,,,0,,-1169.18,2.342200041,80.51660156
-429.16,402,,,,,,0,,-1169.89,2.167500019,96.07299805
-430.26,403,,,,,,0,,-1170.45,1.990300059,111.8422012
-431.35,404,,,,,,0,,-1171.08,1.965600014,114.0423966
-432.45,405,,,,,,0,,-1171.9,1.965899944,114.020401
-433.55,406,,,,,,0,,-1172.7,2.223400116,91.09790039
-434.64,407,,,,,,0,,-1173.44,2.045799971,106.9023972
-435.74,408,,,,,,0,,-1174.19,2.10010004,102.0727005
-436.83,409,,,,,,0,,-1174.76,2.464600086,69.62770081
-437.93,410,,,,,,0,,-1175.36,2.046099901,106.8814011
-439.03,411,,,,,,0,,-1175.98,1.933500052,116.905098
-440.12,412,,,,,,0,,-1176.53,1.958600044,114.6709976
-441.22,413,,,,,,0,,-1177.19,1.815500021,127.4085007
-442.32,414,,,,,,0,,-1177.95,1.900599957,119.8322983
-443.41,415,,,,,,0,,-1178.73,1.727900028,135.2028046
-444.51,416,,,,,,0,,-1179.51,1.870100021,122.5440979
-445.61,417,,,,,,0,,-1180.13,1.938899994,116.4261017
-446.7,418,,,,,,0,,-1180.9,1.756800056,132.6302948
-447.8,419,,,,,,0,,-1181.7,1.764400005,131.9566956
-448.89,420,,,,,,0,,-1182.28,1.821499944,126.867897
-449.99,421,,,,,,0,,-1183.11,1.88530004,121.1960983
-451.09,422,,,,,,0,,-1184,2.001600027,110.8406982
-452.18,423,,,,,,0,,-1184.88,1.670699954,140.294693
-453.28,424,,,,,,0,,-1185.84,1.854500055,123.9376984
-454.38,425,,,,,,0,,-1186.76,1.776000023,130.9199982
-455.47,426,,,,,,0,,-1187.77,1.951500058,115.3035965
-456.57,427,,,,,,0,,-1188.66,2.083699942,103.5337982
